school,lat,lon
Iowa State University,42.0279608,-93.64473746093857
University of Tennessee - Knoxville,35.9516352,-83.93088187962596
University of Illinois at Urbana-Champaign,40.090629199999995,-88.17641799034426
"University of California, Berkeley",37.875499649999995,-122.23906851395179
University of Wisconsin-Madison,43.080274450000005,-89.43095871991434
University of Nebraska-Lincoln,40.8305567,-96.6697373
University of Texas at Austin,30.2851494,-97.73393515146053
University of Wisconsin-Madi,-82.0,135.0
Louisiana State University,30.405761849999998,-91.18597450265686
University of Houston,29.7207902,-95.34406271491369
University of Utah,40.762813699999995,-111.83687191368261
Auburn University,32.591987700000004,-85.4959487362446
,44.933143,7.540121
University of Virginia,38.0410576,-78.50550841214823
University of Georgia,33.9404278,-83.37304904988295
"University of California, Los Angeles",34.0198321,-118.2780639
The University of Chicago,41.78546365,-87.59390098827075
Rice University,29.716791450000002,-95.40478113393792
University of Alabama-Tuscaloosa,33.21208215,-87.53967345126999
Stanford University,37.431313849999995,-122.16936535498309
University of Iowa,41.6683126,-91.57952674093114
University of Missouri - Kansas City,39.0336761,-94.57807525807405
North Dakota State University,46.897155,-96.81826543221285
Northwestern University,42.0557157,-87.67529454739416
University of Kentucky,38.026629099999994,-84.50472223185739
Arizona State University,33.4213174,-111.93315932269833
Helsingin yliopisto,60.175648300000006,24.953550020522073
Tulane University,29.94121955,-90.12010089179185
Kungliga Tekniska Högskolan,59.34986645,18.07063213298418
University of Wisconsin-Milwaukee,43.077639000000005,-87.88194245036574
Kiev State University,50.394225899999995,30.498317422405826
Yale University,41.25713055,-72.98966960152231
Lomonosov Moscow State Univers,-82.0,135.0
University of Minnesota-Minneapolis,44.9863392,-93.17945580218503
California Institute of Technology,34.13701375,-118.12528833668254
Oregon State University,44.56305595,-123.28392363395751
Kansas State Univers,-82.0,135.0
University of De,40.92969565,40.27616902799709
Harvard University,42.36790855,-71.12678237443698
George Peabody College for Teach,-82.0,135.0
University of Delhi,28.5846757,77.16358980822572
University of London,51.51426105,-0.11673351981492822
Radcliffe College,53.584682900000004,-2.298765090067537
Purdue University,40.430028,-86.92642114650494
University of Tokyo,35.71171565,139.76374569517452
Lehigh University,40.6068028,-75.3782488
University of Michigan,42.2942142,-83.71003893509601
Massachusetts Institute of Technology,42.3582529,-71.0966272383055
University of Texas at Dallas,32.9875855,-96.74978396047038
University of South Carolina,33.9968529,-81.0276709
Ivan Franko National University of Lviv,49.840216749999996,24.02228812406451
North Carolina State University,35.7714749,-78.6741935
Brown University,41.8186395,-71.4088008716793
State University of New York at Stony Brook,40.9090809,-73.12055180275716
Princeton University,40.33867515,-74.65836549131683
The University of North Carolina at Chapel Hill,,
,-82.0,135.0
University of Arizona,33.45205165,-112.06367894217559
University of Texas at Arlington,32.728471299999995,-97.11202127009975
Cornell University,42.4529076,-76.48008423030923
University of Louisiana at Lafayette,30.21928995,-92.04138303976296
University of Maryland College Park,38.990412449999994,-76.9438585924238
Columbia University,40.80775585,-73.96164946987652
Vanderbilt University,36.14380105,-86.80281889095295
University of Cincinnati,39.1318613,-84.51576195582436
Michigan State Univers,-82.0,135.0
Technical University of Budapest,47.4701078,19.047185695570654
The Ohio State University,40.00570905,-83.02866280407744
University of Southern California,34.0218833,-118.28586662125
The American University,,
The University of Oklah,-82.0,135.0
The Pennsylvania State University,40.8025835,-77.85593833184565
Universität Hamburg,53.56778265,9.97405144443411
University of Ottawa,45.42580945,-75.68736498199888
Georgia Institute of Technology,33.776094799999996,-84.3988076699857
Washington University in St. Louis,38.64724015,-90.3084017323959
University of Pennsylvania,39.9493382,-75.1896439962691
City University of New York,,
University of Notre Dame,41.704567749999995,-86.23822026017265
Western Michigan University,42.28333755,-85.60950673080742
University of Colorado at Boulder,-82.0,135.0
George Peabody College for Teachers,-82.0,135.0
Osaka University,34.51119925,135.63144797553792
Temple University,39.981188,-75.15628280757346
Florida State University,30.44235995,-84.29747867166262
University of Kansas,38.953491799999995,-95.26308879955823
Boston University,42.3504324,-71.10170122505716
State University of New York at Buffalo,43.00188805,-78.78521350495271
University of Toronto,43.663461999999996,-79.39775966248058
University of Pittsburgh,40.44415295,-79.96246095144505
The University of Oklahoma,35.475506949999996,-97.49612009718746
Cumberland University,36.204635249999995,-86.29971370104121
Hebrew University,31.77293975,35.197994954152726
University of Oregon,44.04441965,-123.07176029673084
ETH Zürich,47.413218,8.5374914
University of Delaware,39.6803338,-75.75307489920786
New York University,40.72914525,-73.99507565085935
Adelphi University,40.7197638,-73.65197185396391
Carnegie Mellon University,40.444189699999995,-79.94271918393466
Tsing-Hua University,24.7916987,120.99242952395865
University of Washington,47.655622750000006,-122.30272238357196
Victoria University of Manchester,-82.0,135.0
University of Alabama in Huntsville,34.7249108,-86.6404909520731
"University of California, Santa Cruz",37.00012445,-122.06221224829252
Universität Zürich,47.373773549999996,8.550954999703729
St. Petersburg State University,59.9406782,30.296499938428813
Bowling Green State University,41.3795005,-83.6297890246625
Russian Academy of Sciences,55.71080885000001,37.57896991984255
The George Washington University,38.89949715,-77.04821211705953
University of Cambri,-82.0,135.0
The Johns Hopkins University,39.296875,-76.61473182117864
Lomonosov Moscow State University,55.70229715,37.53179772747929
Wichita State University,37.71934295,-97.28988783173023
Università di Roma La Sapienza,41.8964496,12.52095869350602
University of Florida,29.6328837,-82.34901302237435
Brandeis University,42.36650945,-71.2580196483813
Universiteit Utrecht,52.0906639,5.1231525
Universität Berlin,52.5128521,13.3892713
Wayne State University,42.35720515,-83.07094978691399
University of Cambridge,52.210945550000005,0.09200497637871279
Uppsala Universitet,59.8576902,17.6297861
Ohio University,39.32300405,-82.10267681533172
Indiana University,40.4594635,-86.13026910233465
University of Natal,-29.86805515,30.978411950041696
Emory University,33.80045465,-84.31723780466274
University of Nottingham,52.9387428,-1.2002956927457427
"Rutgers University, New Brunswick",40.4929271,-74.44520167306827
Southern Methodist University,32.841801149999995,-96.78152810147064
London School of Economics and Political Science,51.51426105,-0.11673351981492822
Lund University,55.70582245,13.193340816013587
University of New South Wales,-33.91701725,151.2251677447594
Texas Tech University,33.59375255,-101.89959552302756
Southern Illinois University at Carbondale,37.7225014,-89.21512201981972
Albert-Ludwigs-Universität Freiburg im Breisgau,48.00229565,7.849140132188766
Michigan State University,42.7024238,-84.48032837503001
University of Oxford,33.6502899,-117.8281794
New Mexico State University,32.2729032,-106.74349267153694
University of Adelaide,-34.9189226,138.60423667410745
University of Missouri - Columbia,38.93641465,-92.32970301784542
Universität Bremen,53.107964550000005,8.855664592828369
Technische Universiteit Delft,51.99882735,4.373960368154041
University of Minnesota-Minneapo,-82.0,135.0
University of Washing,37.9865063,23.75928355859029
Syracuse University,43.017112850000004,-76.11855360009726
University of Wisconsin-Milwau,-82.0,135.0
Iowa State Univers,-82.0,135.0
Concordia Univers,-82.0,135.0
Concordia University,45.4952479,-73.57858216019235
University of Louisiana at Lafaye,-82.0,135.0
Duke University,36.00015569999999,-78.94422972195878
University of Wyom,-82.0,135.0
Air Force Institute of Technology,39.782373500000006,-84.08257289756106
Montana State University,45.66381885,-111.07930568352012
University of Notre D,48.84804475,2.346736461375838
University of Arkansas,36.09352375,-94.17708979491738
University of Massachusetts Amherst,42.3869382,-72.52991477067445
Kansas State University,39.20883,-96.58845116318602
Uniwersytet Warszawski,52.2402217,21.018847560353215
St. Petersburg State Univers,-82.0,135.0
University of Miami,25.71727245,-80.27870688083459
University of I,48.8701102,2.2734842129220603
University of Warwick,52.3813073,-1.5639569481637439
Case Western Reserve University,41.50138695,-81.60070216600491
University of Colorado at Denver,39.7491778,-104.9968469
State University of New York at Binghamton,42.08779975,-75.97066065614858
Virginia Polytechnic Institute and State University,37.22192675,-80.42728184013652
"University of California, Riverside",,
University of Wyoming,41.3142264,-105.56432320214466
University of British Columbia,49.25783145,-123.24624198622213
University of Alberta,53.52682,-113.5244937350756
Indian Institute of Technology,17.422488350000002,78.54044690040888
The University of Memphis,35.1189387,-89.93721959965887
Case Western Reserve Univers,-82.0,135.0
Babeş-Bolyai Univers,-82.0,135.0
The Pennsylvania State Univers,-82.0,135.0
"University of California, Rivers",,
Northern Illinois University,41.937093399999995,-88.78267841443035
University of Montana,46.8541841,-113.96552830266285
Utah State University,41.752695900000006,-111.808733045283
University of Rhode Island,41.487296900000004,-71.5344649840152
Universidade de Brasília,-15.84502125,-48.099459012222276
Lund Institute of Technology,-82.0,135.0
Université Paris XIII,48.956712350000004,2.3405437092356003
Universiti Teknologi Malaysia,1.55852225,103.63991379083758
Universität Konstanz,47.690094,9.188246768461973
Yaroslavl State University,57.6430017,39.8751437
Texas A&M University,30.6108618,-96.35206061388457
Scuola Internazionale Superiore di Studi Avanzati,45.67866575,13.774991223617022
Université Paul Sabatier - Toulouse III,43.5642189,1.4665724064187464
Technische Universität Carolo-Wilhelmina zu Braunschweig,-82.0,135.0
Mälardalens högskola,59.6180729,16.5401889
Vrije Universiteit Brussel,50.822552900000005,4.395491480471453
Technische Universität Carolo-Wilhelmina zu Braunschweig and Beuth Hochschule für Technik Berlin,-82.0,135.0
Erasmus Universiteit Rotter,-82.0,135.0
Jyväskylän yliopisto,62.2318731,25.735751987263857
Université Paris-Sud XI - Orsay,48.71287325,2.1648118329925996
Handelshögskolan i Stockholm,-82.0,135.0
Eberhard-Karls-Universität Tübingen,48.5298981,9.040432300509686
University of Akron,41.07573825,-81.51145320375983
Universiteit van Amsterdam,52.3685848,4.8902006
Ruprecht-Karls-Universität Heidelberg and Aarhus University,-82.0,135.0
Instituto de Matemática Pura e Aplicada,-22.9158261,-43.23278761875301
Illinois Institute of Technology,41.83616405,-87.62647227745128
University of Regina,50.4152275,-104.58899996239825
University of Massachusetts Boston,42.314068,-71.03871320767618
University of Louisville,38.21332235,-85.75770751081866
"University of California, Santa Barbara",34.4113357,-119.85500524640557
Université de Genève,46.1972358,6.136766
Universität Wien,48.2131284,16.360685994114505
University of Waterloo,43.4701994,-80.54524293779451
"National University of Ireland, Maynooth",53.3847002,-6.6003964
University of Victoria,48.46205995,-123.31141980604804
Universiteit Gent,51.00784845,3.710883068491984
Tamkang University,25.174982200000002,121.45034977061806
University of Connecticut,41.82175755,-72.24277535505323
Université Paris Diderot - Paris 7,-82.0,135.0
Weizmann Institute of Science,31.907849900000002,34.81334092444211
Technische Universität München,48.2655696,11.669345610437997
Donetsk University,47.994313500000004,37.80320319866691
Rheinische Friedrich-Wilhelms-Universität Bonn,50.7338124,7.1022465
University of Auckland,-36.8660955,174.77373309361866
Brigham Young University,40.25501105,-111.64968264312222
University of Novi Sad,45.2462185,19.851175493434894
Kanazawa University,36.55644365,136.673753087421
Université Mulhouse,47.733434,7.3170246
Freie Universität Berlin,52.4550561,13.296437631145452
Technische Universität Berlin,52.51101585,13.326954140959668
University of Melbourne,-37.8038271,144.9597056360034
University of Athens,37.9684625,23.7667097
"Tata Institute of Fundamental Research and The Institute of Mathematical Sciences, Chennai and Homi Bhabha National Institute",-82.0,135.0
Universität Bielefeld,52.0376885,8.493223283579532
Mimar Sinan Güzel Sanatlar Üniversitesi,41.030086,28.989127375893844
Seoul National University,37.46691,126.94771
"Panjab University, Chandig",-82.0,135.0
Ruhr-Universität Bochum,51.444157649999994,7.260965412383296
Loyola University of Chicago,41.999149200000005,-87.65737041681818
Uniwersytet Jagielloński,50.061562949999995,19.933409068159605
Università degli Studi di Napoli Federico II,40.896793349999996,14.244673709461011
University of Ilorin,8.484273949999999,4.673080587006053
Heinrich-Heine-Universität Düsseldorf,51.19077325,6.793516713552313
Universität Bern,46.95097255,7.438684130809055
Babeş-Bolyai University,46.7677836,23.591976552323946
Technische Universität Darmstadt,49.86115175,8.681943998674633
University of Illinois at Chicago,41.868922299999994,-87.64858476010119
Universiteit Maastricht,50.8352755,5.7165617
Universität Dortmund,51.49148435,7.4122738886856805
University of Leeds,53.80677435,-1.5562877504739676
Dalhousie University,44.63620105,-63.591996064796504
"University of California, Irvine",33.64314015,-117.8401967439739
University of Prague,50.087649,14.4023543
Nankai University,39.101985,117.1609501175526
University of York,53.9453903,-1.0314592943104675
Universidad de Barcelona,41.3868913,2.1635238457663224
"University of Massachusetts, Dartmouth",41.6295897,-71.0061861
Saint Louis University,38.635359,-90.23184326838913
Imperial College London,51.4989595,-0.17564069276310426
Friedrich-Alexander-Universität Erlangen-Nürnberg,49.60030465,11.016227770563523
University of Maryland Baltimore County,39.252376999999996,-76.70891806688415
Fernuniversität Hagen,51.375996,7.492943
Ruprecht-Karls-Universität Heidelberg,49.4167814,8.6691206
Universitat Politècnica de València,39.48088165,-0.34205024985363447
Friedrich-Schiller-Universität Jena,50.9333221,11.582296971854834
National Sun Yat-Sen University,22.62800585,120.26622411994393
Universität Leipzig,51.33845385,12.37863856850984
University of Kerman,30.0469811,57.248202859439175
Bangalore University,12.944172049999999,77.5091485894286
"Islamic Azad University, Mashhad Branch",-82.0,135.0
Centro de Investigación y de Estudios Avanzados del Instituto Politécnico Nacional,-82.0,135.0
University of Adela,14.813700749999999,121.05737388987112
Peking University and Université de Bourgogne,-82.0,135.0
Universidad Autónoma Metropolitana-Iztapalapa,19.36207685,-99.07289764077358
