school,lat,lon
"Universiteit Leiden, Netherlands",52.15694046,4.48528004
,,
"Universidade da Beira Interior, Portugal",40.27727509,-7.50956011
"Cornell University, United States",42.45424271,-76.4813385
"National Institute of Technology, Rourkela, India",22.23213196,84.80312347
"University College London, United Kingdom",51.52381516,-0.1330597
"Peking University, China",39.99285126,116.3109436
"Tsinghua University, China",40.00598526,116.32681274
"University of California, Berkeley, United States",37.87189865,-122.25849915
"University of Maryland College Park, United States",38.98670959,-76.94740295
"Indiana University, United States",39.1717186,-86.50167084
"Technische Universiteit Eindhoven, Netherlands",51.44866943,5.48977423
"Aarhus University, Denmark",56.15522385,10.17289829
"Columbia University, United States",40.80732727,-73.96176147
"Universidad de Alcalá, Spain",40.48253632,-3.36115098
"Princeton University, United States",40.34233856,-74.65603638
"Université Catholique de Louvain, Belgium",50.66971207,4.61592197
"Université de Liège, Belgium",50.64086914,5.57614088
"Yerevan State University, Armenia",40.1815567,44.52635193
"Université de Paris, France",48.85689545,2.35084867
"Humboldt-Universität zu Berlin, Germany",52.53033066,13.38296795
"École Normale Supérieure, France",48.84167862,2.34479189
"Universidad Complutense de Madrid, Spain",40.4375,-3.72480512
"Université Libre de Bruxelles, Belgium",50.8117218,4.38108444
"New York University, United States",40.73889542,-73.97800446
"Comenius University, Slovakia",48.14122009,17.11594391
"Ghent University, Belgium",51.04679489,3.72761607
"Universität Duisburg-Essen, Germany",51.46399307,7.00558281
"Koç University, Turkey",41.20580673,29.07528114
"University of Alabama-Birmingham, United States",33.50111265,-86.80692495
"Hebrew University of Jerusalem, Israel",31.77344513,35.19736862
"Université Pierre-et-Marie-Curie - Paris VI, France",48.84722137,2.35638905
"University of Texas at Dallas, United States",32.9849205,-96.74929047
"The Johns Hopkins University, United States",39.32925415,-76.6212616
"University of Michigan, United States",42.27693939,-83.73806
"Universidad Católica del Norte, Chile",-31.76133728,-71.31877136
"North Carolina State University, United States",35.77954483,-78.67736053
"Tokyo Institute of Technology, Japan",35.68992615,139.6917572
"University of Reading, United Kingdom",51.44100952,-0.94264203
"Université Claude Bernard Lyon 1, France",45.78097916,4.86758995
"Yale University, United States",41.31506348,-72.9254837
"ETH Zürich, Switzerland",47.37641525,8.54810238
"Indian Institute of Technology, Mumbai, India",18.96904755,72.82118225
"Université Côte d'Azur, France",43.54456711,6.94885254
"Bilkent Universitesi, Turkey",39.86800003,32.74869919
"University of Birmingham, United Kingdom",52.4499321,-1.93152285
"Sungkyunkwan University, South Korea",37.58721924,126.99417114
"University of Durham, United Kingdom",54.76379013,-1.57382619
"City University of New York, United States",40.73889542,-73.97800446
"California Institute of Technology, United States",39.50357056,-99.01832581
"Rijksuniversiteit Groningen, Netherlands",53.19889832,5.79640007
"University of Wisconsin-Madison, United States",43.07184982,-89.40789032
"Mälardalens universitet, Sweden",59.61827087,16.54130936
"University of Warwick, United Kingdom",52.3807106,-1.56411386
"University of Aston, United Kingdom",52.48587799,-1.88898826
"Cardiff University, United Kingdom",51.49277496,-3.18504333
"The Pennsylvania State University, United States",40.80312347,-77.85286713
"University of Texas at Austin, United States",30.26497841,-97.74659729
"University of Arizona, United States",32.23290253,-110.95058441
"Rheinland-Pfälzische Technische Universität Kaiserslautern-Landau (RPTU), Germany",49.42457581,7.75441313
"Boston University, United States",42.35092545,-71.10968781
"University of Liverpool, United Kingdom",53.40552139,-2.96123624
"Universität Hamburg, Germany",53.56594086,9.98441029
"Tilburg University, Netherlands",51.56259918,5.04710007
"Massachusetts Institute of Technology, United States",42.17237473,-71.60503387
"École Polytechnique, France",48.71326828,2.21016502
"Universidade Federal da Paraíba, Brazil",-7.13048983,-34.86730957
"Institute of Mathematics, Polish Academy of Sciences, Poland",52.12467194,19.40042686
"University of Nevada, Las Vegas, United States",36.10682297,-115.14389038
"Scuola Internazionale Superiore di Studi Avanzati, Trieste, Italy",45.67995071,13.77573204
"Scuola Normale Superiore di Pisa, Italy",43.71943283,10.40013123
"Université de Franche-Comté, France",47.24055862,6.02292824
"Université de Besançon, France",47.24055862,6.02292824
"Université de Bourgogne, France",47.31236649,5.07192612
"Rensselaer Polytechnic Institute, United States",42.73215485,-73.67466736
"King's College London, United Kingdom",51.51166534,-0.116223
"Uniwersytet Warszawski, Poland",52.240242,21.01867676
"Université de Bordeaux, France",44.83499527,-0.57549518
"University College Dublin, Ireland",53.30679321,-6.22376823
"National University of Ireland, Galway, Ireland",53.29142795,-9.0730307
"University of Sydney, Australia",-33.88857269,151.18760681
"Imperial College London, United Kingdom",51.49881363,-0.17486399
"Linköpings Universitet, Sweden",59.67497253,14.52085876
"University of Melbourne, Australia",-37.79917908,144.9641571
"University of Cambridge, United Kingdom",52.21055984,0.08616186
"University of Glasgow, United Kingdom",55.8716507,-4.28842688
"Technische Universiteit Delft, Netherlands",51.99757767,4.3751502
"University of Science and Technology of China, China",17.90924644,77.51287079
"University of New South Wales, Australia",-32.89233398,151.70361328
"Beijing Normal University, China",39.95721817,116.36250305
"Université Paris-Saclay, France",48.71173477,2.17128873
"Institut Polytechnique de Paris, France",48.71173477,2.17128873
"Universiteit Twente, Netherlands",52.24247742,6.85363817
"Norges Teknisk-Naturvitenskapelige Universitet, Norway",63.42024612,10.38900566
"Purdue University, United States",40.42803192,-86.92464447
